name,IAUID,ra,dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF18abjyuoj,SN2022iby,17:00:59.06,-18:48:24.4,1694.82,r,18.4331,-18.02,>32.922,>10.92,22.002,SN Ia,0.0303,14.09271652,1.044
ZTF18abnuexr,SN2018eog,20:28:12.04,-03:08:10.7,377.77,r,18.0668,-16.13,>79.303,>28.92,50.383,SN II,0.015,-22.89816538,0.174
ZTF18aboebsg,SN2018fst,01:19:32.29,-18:10:24.3,363.9,g,18.6785,-19.62,20.806,7.641,13.165,SN Ia,0.1,-78.95094058,0.069
ZTF18abrcvbu,SN2022uis,01:51:12.91,-03:23:11.9,1843.92,r,18.9702,-19.26,23.865,14.926,8.939,SN Ia,0.098,-62.29101785,0.074
ZTF18abrebsb,SN2021vla,02:09:37.94,-02:47:08.1,1444.97,r,18.3116,-18.43,24.65,8.481,16.169,SN Ia,0.05,-59.30046269,0.074
ZTF18abshezu,SN2018gft,23:57:17.94,-15:37:53.3,423.74,g,17.8657,-22.30,>93.739,44.869,>48.87,SLSN-I,0.23,-72.96642137,0.081
ZTF18abskove,SN2018gfg,20:59:09.73,-14:15:47.1,378.73,r,18.8904,-18.97,21.455,13.728,7.727,SN Ia,0.082,-34.64888034,0.106
ZTF18abtfvsk,SN2018fop,01:15:18.10,-06:51:32.6,367.93,g,15.731,-19.17,>10.697,>0.06,>10.637,SN Ia,0.02,-68.95352719,0.188
ZTF18abtkqkb,SN2018fzi,23:39:47.27,-23:55:12.7,377.79,r,18.9039,-18.86,>21.371,>8.96,12.411,SN Ia,0.08,-73.5359932,0.06
ZTF18abtvhef,SN2018gfw,20:30:53.57,-26:31:04.4,377.71,g,17.3407,-18.54,>5.555,5.555,>0,SN Ia,0.032,-32.57637023,0.142
ZTF18abupgps,SN2018ita,01:07:51.76,-15:40:50.2,448.77,r,18.9077,-19.33,>25.077,17.087,>7.99,SN Ia-91T,0.0993,-77.93384779,0.053
ZTF18abupiap,SN2018gka,02:59:20.00,-14:05:59.2,375.98,r,18.9939,-19.34,>9.99,>3.09,>6.9,SN Ia,0.1,-57.49088439,0.148
ZTF18abuykiu,SN2018fwn,03:29:34.35,-19:41:40.7,377.94,r,18.966,-17.54,>8.96,>5.96,>3,SN Ia,0.0444,-53.12256594,0.096
ZTF18abvfecb,SN2018gvm,03:10:21.32,-07:41:06.0,397.94,r,18.8303,-20.03,75.941,19.869,56.072,SN II,0.125,-51.79903425,0.189
ZTF18abvlchy,SN2018gqb,01:31:07.17,-14:42:58.2,388.86,g,18.3861,-19.59,39.321,10.679,28.642,SN Ia-91T,0.0875,-74.52715861,0.048
