|name              |ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|detection_significance|spectrum_type   |alt_gammaray_name_1|assoc_name                  |analysis_flags|
Display all params|4FGL J0908.5-8751 |09 08 35.9|-87 51 58|    1.1667e-10|          2.5462e-11|                6.2932|PowerLaw        |                   |AT20G J090956-875515        |           000|
Display all params|4FGL J1354.1-8750 |13 54 10.8|-87 50 23|    1.2983e-10|          2.7746e-11|                4.5903|PowerLaw        |                   |AT20G J135303-875108        |           000|
Display all params|4FGL J0543.5-8741 |05 43 34.5|-87 41 10|    4.6209e-10|          3.5978e-11|               18.2630|PowerLaw        |3FGL J0542.2-8737  |                            |           256|
Display all params|4FGL J2013.9-8717 |20 13 55.5|-87 17 05|    6.1751e-11|          2.2258e-11|                5.7014|LogParabola     |                   |                            |           000|
Display all params|4FGL J1348.5-8700 |13 48 30.7|-87 00 47|    7.9633e-11|          2.5035e-11|                2.7453|PowerLaw        |                   |                            |          4112|
Display all params|4FGL J2109.8-8618 |21 09 50.9|-86 18 28|    2.9536e-10|          3.4297e-11|               16.7126|PowerLaw        |3FGL J2108.6-8619  |2MASS J21101113-8618473     |           512|
Display all params|4FGL J0413.4-8609 |04 13 29.6|-86 09 13|    2.4164e-10|          3.4830e-11|                8.1722|LogParabola     |                   |                            |           000|
Display all params|4FGL J1027.0-8542 |10 27 03.5|-85 42 59|    1.0820e-09|          5.3121e-11|               39.3804|LogParabola     |3FGL J1026.4-8542  |PKS 1029-85                 |           000|
Display all params|4FGL J0931.2-8533 |09 31 16.2|-85 33 45|    3.7652e-10|          3.7646e-11|               13.3109|LogParabola     |                   |PKS 0936-853                |           000|
Display all params|4FGL J0533.0-8446 |05 33 04.2|-84 46 42|    1.2468e-10|          2.7141e-11|                5.2128|PowerLaw        |                   |PMN J0532-8447              |           000|
Display all params|4FGL J2336.9-8427 |23 36 56.6|-84 27 42|    1.4342e-10|          2.8618e-11|                6.5875|PowerLaw        |3FGL J2337.2-8425  |                            |           000|
Display all params|4FGL J0044.2-8424 |00 44 17.1|-84 24 06|    1.4305e-10|          2.6789e-11|                6.0883|PowerLaw        |3FGL J0046.7-8419  |PKS 0044-84                 |           000|
Display all params|4FGL J1030.2-8403 |10 30 14.9|-84 03 26|    1.7761e-10|          3.1243e-11|                7.4159|PowerLaw        |2FGL J1032.9-8401  |PMN J1030-8402              |           000|
Display all params|4FGL J1435.9-8348 |14 35 54.7|-83 48 06|    6.8096e-10|          4.6926e-11|               21.6002|LogParabola     |                   |PMN J1433-8340              |           002|
Display all params|4FGL J1619.0-8346 |16 19 05.9|-83 46 52|    1.3540e-10|          2.5676e-11|                5.5697|PowerLaw        |                   |PKS 1608-83                 |           000|
Display all params|4FGL J0839.6-8341 |08 39 39.8|-83 41 33|    8.1892e-11|          2.6399e-11|                5.1544|PowerLaw        |                   |                            |           000|
Display all params|4FGL J2201.5-8339 |22 01 30.9|-83 39 47|    1.7139e-09|          6.3158e-11|               45.6172|LogParabola     |3FGL J2202.4-8339  |PKS 2155-83                 |           000|
Display all params|4FGL J0213.2-8333 |02 13 17.0|-83 33 21|    6.1382e-11|          2.0739e-11|                5.3332|LogParabola     |                   |                            |           000|
Display all params|4FGL J2241.4-8327 |22 41 25.6|-83 27 40|    4.4640e-10|          4.6057e-11|               12.7701|LogParabola     |3FGL J2237.5-8326  |                            |           000|
Display all params|4FGL J0532.9-8325 |05 32 58.9|-83 25 57|    2.0197e-10|          3.5275e-11|                7.9967|PowerLaw        |3FGL J0533.6-8323  |PKS 0541-834                |           000|
Display all params|4FGL J0439.6-8322 |04 39 41.4|-83 22 06|    1.6459e-10|          2.8212e-11|                6.2291|PowerLaw        |                   |                            |           258|
Display all params|4FGL J1036.5-8318 |10 36 36.0|-83 18 45|    7.5492e-10|          5.0954e-11|               21.2407|PLSuperExpCutoff|3FGL J1036.0-8317  |PSR J1036-8317              |           000|
Display all params|4FGL J2123.5-8315 |21 23 32.6|-83 15 48|    1.4834e-10|          3.0962e-11|                5.9205|PowerLaw        |                   |                            |           000|
Display all params|4FGL J1224.7-8313 |12 24 47.8|-83 13 33|    5.8826e-10|          4.4344e-11|               19.8424|LogParabola     |3FGL J1224.6-8312  |PKS 1221-82                 |           000|
Display all params|4FGL J0524.7-8304 |05 24 43.6|-83 04 21|    3.9104e-10|          4.2996e-11|               11.5626|LogParabola     |                   |                            |           000|
Display all params|4FGL J2205.8-8254c|22 05 48.3|-82 54 26|    9.7544e-11|          3.3458e-11|                2.5537|PowerLaw        |                   |                            |          4144|
Display all params|4FGL J0737.3-8247 |07 37 23.3|-82 47 12|    4.8921e-10|          3.9812e-11|               19.6184|PowerLaw        |3FGL J0737.8-8245  |SUMSS J073706-824836        |           000|
Display all params|4FGL J2258.5-8247 |22 58 33.3|-82 47 04|    4.7825e-10|          4.4584e-11|               15.9250|LogParabola     |3FGL J2258.1-8248  |PMN J2258-8246              |           000|
Display all params|4FGL J1505.5-8241 |15 05 30.5|-82 41 59|    2.2489e-10|          3.3830e-11|               12.3954|PowerLaw        |3FGL J1504.5-8242  |WISEA J150525.41-824231.1   |           000|
Display all params|4FGL J2057.6-7829 |20 57 38.1|-78 29 36|    1.2997e-10|          3.1512e-11|                5.9868|PowerLaw        |                   |                            |           000|
Display all params|4FGL J0250.2-8224 |02 50 17.6|-82 24 13|    2.9291e-10|          3.2447e-11|               13.1963|LogParabola     |3FGL J0244.4-8224  |PMN J0251-8226              |           000|
Display all params|4FGL J2130.1-8222 |21 30 09.8|-82 22 18|    1.3443e-10|          3.0689e-11|                4.3914|PowerLaw        |                   |                            |           000|
Display all params|4FGL J0921.2-8211 |09 21 17.1|-82 11 09|    2.3489e-10|          3.3963e-11|                8.6768|LogParabola     |                   |PKS 0924-819                |           000|
Display all params|4FGL J0019.3-8152 |00 19 19.8|-81 52 47|    5.8907e-10|          3.8984e-11|               22.7897|PowerLaw        |3FGL J0018.9-8152  |PMN J0019-8152              |           000|
Display all params|4FGL J1259.0-8148 |12 59 03.0|-81 48 59|    5.4318e-10|          4.8871e-11|               14.9782|PLSuperExpCutoff|3FGL J1259.3-8151  |PSR J1259-8148              |           000|
Display all params|4FGL J1503.3-8136 |15 03 19.7|-81 36 57|    1.7785e-10|          3.8186e-11|                4.4758|LogParabola     |                   |MRC 1456-814                |           000|
Display all params|4FGL J0741.4-8132 |07 41 24.9|-81 32 27|    6.8038e-11|          2.7957e-11|                4.2388|LogParabola     |3FGL J0742.4-8133c |SUMSS J074220-813139        |           000|
Display all params|4FGL J1717.5-8114 |17 17 31.8|-81 14 19|    3.0166e-10|          3.5680e-11|               11.5960|PowerLaw        |3FGL J1716.7-8112  |1RXS J171712.6-811501       |           000|
Display all params|4FGL J1642.3-8108 |16 42 20.5|-81 08 15|    1.4005e-10|          2.8041e-11|                5.5105|PowerLaw        |                   |PKS 1633-810                |           000|
Display all params|4FGL J0449.6-8100 |04 49 36.0|-81 00 46|    1.1413e-10|          2.3272e-11|                5.7532|PowerLaw        |                   |PKS 0454-81                 |           000|
Display all params|4FGL J1521.5-8057c|15 21 33.2|-80 57 14|    1.5286e-10|          3.2792e-11|                4.5441|PowerLaw        |                   |                            |           290|
Display all params|4FGL J0737.7-8047 |07 37 43.2|-80 47 41|    9.2351e-11|          3.1895e-11|                4.8749|PowerLaw        |                   |                            |           000|
Display all params|4FGL J1806.9-8038 |18 06 59.4|-80 38 34|    1.1380e-10|          2.7548e-11|                4.5420|PowerLaw        |                   |PKS 1757-807                |           002|
Display all params|4FGL J1110.4-8023 |11 10 28.5|-80 23 53|    7.5989e-11|          2.0182e-11|                6.1610|LogParabola     |                   |                            |           000|
Display all params|4FGL J0101.3-8019 |01 01 19.8|-80 19 25|    9.8691e-11|          2.3474e-11|                4.7932|PowerLaw        |                   |PKS 0101-804                |           000|
Display all params|4FGL J0836.0-8015 |08 36 00.9|-80 15 23|    5.5987e-11|          2.2326e-11|                5.0328|PowerLaw        |                   |2MASS J08354940-8016114     |           000|
Display all params|4FGL J1951.3-8015c|19 51 21.0|-80 15 22|    1.5138e-10|          3.3302e-11|                4.6072|PowerLaw        |                   |                            |           032|
Display all params|4FGL J1424.8-8012 |14 24 51.5|-80 12 33|    2.5124e-10|          3.9784e-11|                7.1111|LogParabola     |                   |                            |           000|
Display all params|4FGL J1913.0-8009 |19 13 04.8|-80 09 27|    1.5247e-09|          6.3792e-11|               38.8606|LogParabola     |3FGL J1912.9-8008  |PKS 1903-80                 |           000|
Display all params|4FGL J0639.1-8009 |06 39 09.7|-80 09 10|    1.6221e-10|          3.5009e-11|                5.1271|LogParabola     |                   |                            |           000|
Display all params|4FGL J1153.4-8008 |11 53 30.0|-80 08 06|    5.9542e-11|          2.6035e-11|                4.5327|LogParabola     |                   |                            |           004|
Display all params|4FGL J1058.6-8003 |10 58 38.4|-80 03 50|    1.5935e-09|          6.2769e-11|               39.8041|LogParabola     |3FGL J1058.5-8003  |PKS 1057-79                 |           000|
Display all params|4FGL J1537.7-7957 |15 37 45.5|-79 57 27|    6.8328e-10|          4.3820e-11|               22.3974|PowerLaw        |3FGL J1537.8-8000  |PMN J1537-7958              |           000|
Display all params|4FGL J0120.2-7944 |01 20 13.7|-79 44 28|    8.9168e-11|          2.4551e-11|                4.8874|PowerLaw        |                   |                            |           000|
Display all params|4FGL J0224.0-7941 |02 24 01.3|-79 41 36|    2.6111e-10|          2.8838e-11|               12.1843|PowerLaw        |3FGL J0224.1-7941  |PMN J0223-7940              |           000|
Display all params|4FGL J1728.9-7930 |17 28 55.5|-79 30 45|    1.3613e-10|          2.9740e-11|                4.5712|PowerLaw        |                   |                            |           016|
Display all params|4FGL J1420.9-7920 |14 20 56.8|-79 20 58|    4.6776e-10|          4.2884e-11|               14.5641|LogParabola     |3FGL J1421.8-7920  |PMN J1421-7920              |           004|
Display all params|4FGL J1309.4-7915 |13 09 28.4|-79 15 08|    1.3908e-10|          3.0220e-11|                5.7877|PowerLaw        |                   |                            |           001|
Display all params|4FGL J0303.3-7913 |03 03 21.8|-79 13 25|    2.3580e-10|          2.8743e-11|               10.8152|PowerLaw        |3FGL J0302.5-7915  |PMN J0303-7914              |           000|
Display all params|4FGL J1724.8-7854 |17 24 53.9|-78 54 43|    1.0162e-10|          3.0870e-11|                4.5437|PowerLaw        |                   |                            |           000|
Display all params|4FGL J1423.6-7829 |14 23 39.7|-78 29 06|    7.8727e-10|          4.9168e-11|               24.1069|LogParabola     |3FGL J1422.8-7828  |PKS 1418-782                |           000|
Display all params|4FGL J0531.5-7823 |05 31 30.5|-78 23 44|    1.2078e-10|          2.4919e-11|                5.0781|PowerLaw        |                   |                            |           000|
Display all params|4FGL J2103.4-7816 |21 03 28.2|-78 16 39|    1.4641e-10|          3.5937e-11|                3.4492|LogParabola     |                   |PKS 2059-78                 |          4112|
Display all params|4FGL J2230.9-7815 |22 30 54.8|-78 15 34|    3.5184e-10|          3.3618e-11|               14.0002|PowerLaw        |3FGL J2230.5-7817  |PKS 2225-785                |           000|
Display all params|4FGL J1918.6-7813c|19 18 39.5|-78 13 54|    2.0458e-10|          4.0104e-11|                5.8408|LogParabola     |3FGL J1925.8-7826  |                            |           034|
Display all params|4FGL J1208.2-7810 |12 08 13.7|-78 10 48|    2.3140e-10|          3.9771e-11|               10.0215|LogParabola     |3FGL J1208.2-7810c |PKS 1205-778                |           000|
Display all params|4FGL J1337.5-7802 |13 37 32.6|-78 02 42|    2.6979e-10|          3.4502e-11|               10.2502|PowerLaw        |                   |RX J1338.2-7801             |           004|
Display all params|4FGL J2144.3-7802 |21 44 20.5|-78 02 04|    7.1442e-11|          2.6692e-11|                3.3852|LogParabola     |                   |PKS 2141-781                |          4096|
Display all params|4FGL J1130.5-7801 |11 30 30.0|-78 01 24|    4.3711e-10|          4.2782e-11|               23.0793|LogParabola     |3FGL J1130.7-7800  |SUMSS J113032-780105        |           004|
Display all params|4FGL J1358.0-7749 |13 58 02.1|-77 49 24|    2.8124e-10|          3.9827e-11|                8.0803|LogParabola     |                   |                            |           000|
Display all params|4FGL J2007.3-7728 |20 07 23.2|-77 28 41|    3.8679e-10|          4.1175e-11|               12.2401|LogParabola     |3FGL J2007.7-7728  |PKS 2000-776                |           000|
Display all params|4FGL J0756.6-7723 |07 56 41.2|-77 23 22|    1.0255e-10|          2.4679e-11|                5.2626|PowerLaw        |                   |SUMSS J075624-772151        |           000|
Display all params|4FGL J1514.4-7719 |15 14 25.5|-77 19 57|    8.1986e-11|          2.2858e-11|                7.0808|LogParabola     |                   |1RXS J151448.8-772249       |           002|
Display all params|4FGL J1617.9-7718 |16 17 55.3|-77 18 14|    1.2507e-09|          5.2817e-11|               39.6781|LogParabola     |3FGL J1617.7-7717  |PKS 1610-77                 |           000|
Display all params|4FGL J1643.0-7714 |16 43 05.3|-77 14 56|    1.4307e-10|          2.7115e-11|                5.4652|PowerLaw        |                   |PKS 1636-77                 |           000|
Display all params|4FGL J1723.6-7714 |17 23 41.3|-77 14 15|    3.2320e-09|          8.2877e-11|               71.1240|LogParabola     |3FGL J1723.7-7713  |PKS 1716-771                |           000|
Display all params|4FGL J0734.4-7711 |07 34 26.8|-77 11 07|    7.8399e-10|          5.0956e-11|               22.2921|LogParabola     |3FGL J0734.3-7709  |PKS 0736-770                |           000|
Display all params|4FGL J1344.1-7700 |13 44 08.7|-77 00 49|    2.3003e-10|          3.4143e-11|                7.5194|PowerLaw        |                   |PMN J1343-7658              |           002|
Display all params|4FGL J0953.4-7659 |09 53 28.1|-76 59 36|    2.1668e-10|          4.1067e-11|                9.8110|PowerLaw        |3FGL J0953.1-7657c |RX J0953.1-7657             |           000|
Display all params|4FGL J1626.6-7639 |16 26 37.3|-76 39 01|    3.9057e-10|          3.8978e-11|               18.4110|PowerLaw        |3FGL J1626.4-7640  |PKS 1619-765                |           000|
Display all params|4FGL J1209.2-7635 |12 09 17.5|-76 35 16|    1.5818e-10|          3.3138e-11|                5.1925|PowerLaw        |                   |                            |           004|
Display all params|4FGL J0807.2-7630 |08 07 16.2|-76 30 32|    2.3695e-10|          3.0343e-11|                9.9250|PowerLaw        |                   |PMN J0807-7629              |           000|
Display all params|4FGL J2336.5-7622 |23 36 33.5|-76 22 32|    2.7650e-10|          2.8848e-11|               12.8013|PowerLaw        |3FGL J2336.5-7620  |PMN J2336-7620              |           000|
Display all params|4FGL J1744.0-7618 |17 44 00.1|-76 18 55|    3.7620e-09|          9.5289e-11|               67.7282|PLSuperExpCutoff|3FGL J1744.1-7619  |PSR J1744-7619              |           000|
Display all params|4FGL J0733.3-7615 |07 33 23.1|-76 15 56|    7.3124e-11|          2.4493e-11|                5.1786|PowerLaw        |                   |                            |           000|
Display all params|4FGL J0940.3-7610 |09 40 23.7|-76 10 46|    1.0498e-09|          5.8883e-11|               26.1046|LogParabola     |3FGL J0940.6-7609  |2SXPS J094023.5-761001      |           000|
Display all params|4FGL J1455.8-7601 |14 55 49.7|-76 01 04|    2.1199e-10|          3.1787e-11|                9.7655|PowerLaw        |                   |SUMSS J145543-760054        |           000|
Display all params|4FGL J2351.3-7559 |23 51 19.8|-75 59 11|    4.4970e-10|          3.5769e-11|               20.2131|LogParabola     |3FGL J2351.9-7601  |SUMSS J235115-760012        |           000|
Display all params|4FGL J0540.0-7552 |05 40 01.5|-75 52 42|    4.3896e-10|          3.8029e-11|               16.8115|LogParabola     |3FGL J0539.9-7553  |4FGL J0540.0-7552           |           000|
Display all params|4FGL J2158.5-7550 |21 58 32.4|-75 50 09|    1.5232e-10|          3.1543e-11|                5.5750|PowerLaw        |                   |PKS 2153-76                 |           000|
Display all params|4FGL J0101.8-7543 |01 01 53.4|-75 43 57|    9.0508e-11|          2.1364e-11|                4.2698|PowerLaw        |                   |PKS 0101-76                 |           016|
Display all params|4FGL J2147.3-7536 |21 47 18.4|-75 36 09|    3.2717e-09|          7.6635e-11|               77.7822|LogParabola     |3FGL J2147.3-7536  |PKS 2142-75                 |           000|
Display all params|4FGL J0959.2-7535 |09 59 16.3|-75 35 02|    1.2043e-10|          3.3645e-11|                4.2036|PowerLaw        |                   |                            |           000|
Display all params|4FGL J0811.0-7529 |08 11 00.3|-75 29 54|    2.5442e-09|          7.1573e-11|               68.8832|LogParabola     |3FGL J0811.2-7529  |PMN J0810-7530              |           512|
Display all params|4FGL J0750.5-7519 |07 50 35.0|-75 19 31|    1.4035e-10|          3.1146e-11|                4.3276|PowerLaw        |                   |                            |           000|
Display all params|4FGL J0635.6-7518 |06 35 36.5|-75 18 17|    6.4286e-10|          3.8925e-11|               29.4235|LogParabola     |3FGL J0635.7-7517  |PKS 0637-75                 |           000|
Display all params|4FGL J0254.5-7511 |02 54 32.5|-75 11 38|    1.2800e-10|          2.3259e-11|                6.5940|PowerLaw        |                   |PKS 0253-754                |           000|
Display all params|4FGL J0503.8-7508 |05 03 48.0|-75 08 45|    8.4007e-11|          2.0853e-11|                3.8202|PowerLaw        |                   |                            |          4096|
Display all params|4FGL J0112.8-7506 |01 12 49.2|-75 06 09|    3.7733e-10|          3.3251e-11|               17.9641|LogParabola     |3FGL J0112.9-7506  |2MASS J01123146-7506179     |           000|
Display all params|4FGL J1406.2-7500 |14 06 13.9|-75 00 24|    1.2177e-10|          3.0818e-11|                4.8683|PowerLaw        |                   |                            |           004|
Display all params|4FGL J0321.7-7500 |03 21 44.3|-75 00 15|    1.5858e-10|          2.4711e-11|                7.3220|PowerLaw        |                   |PMN J0320-7500              |           000|
Display all params|4FGL J0558.8-7459 |05 58 53.7|-74 59 31|    5.9235e-10|          4.1304e-11|               22.9781|LogParabola     |3FGL J0558.6-7459  |PKS 0600-749                |           000|
Display all params|4FGL J0438.0-7329 |04 38 05.8|-73 29 06|    2.3227e-10|          2.9764e-11|               14.1500|PowerLaw        |3FGL J0437.7-7330  |                            |           002|
Display all params|4FGL J1922.5-7453 |19 22 30.7|-74 53 15|    3.6592e-10|          3.3854e-11|               17.5260|PowerLaw        |3FGL J1923.2-7452  |J192244.1-745411            |           000|
Display all params|4FGL J1728.6-7448 |17 28 36.7|-74 48 13|    2.2313e-10|          3.4096e-11|                8.1924|LogParabola     |                   |MRC 1722-748                |           000|
Display all params|4FGL J1626.5-7435 |16 26 32.6|-74 35 38|    1.0691e-10|          2.5489e-11|                4.3726|PowerLaw        |                   |SUMSS J162619-743515        |           000|
Display all params|4FGL J1036.5-7434c|10 36 33.7|-74 34 45|    1.5236e-10|          3.9203e-11|                5.0436|LogParabola     |                   |                            |           032|
Display all params|4FGL J0805.3-7425 |08 05 20.0|-74 25 49|    1.5961e-10|          2.9309e-11|                6.5472|PowerLaw        |                   |                            |           000|
Display all params|4FGL J0439.4-7424 |04 39 27.8|-74 24 05|    1.1563e-10|          2.3262e-11|                5.1578|PowerLaw        |                   |                            |           000|
